mood,sleep,food,stress,sessionID_x,userID,real_stress,user_sessionID,participantID,sessionID_y,Dsubj_perf_oo,Ssubj_perf_oo,subj_perf_no,subj_RT_no,Dsubj_RT_oo,Ssubj_RT_oo,OKubj_RT_no,OKDsubj_RT_oo,OKSsubj_RT_oo,NOKubj_RT_no,NOKDsubj_RT_oo,NOKSsubj_RT_oo,medianRT,Dsubj_optout_oo,Ssubj_optout_oo,HRopt_,SO_HRopt,SO_HRopt_,DHL_oo,DHR_oo,Dsigma_oo,SHL_oo,SHR_oo,Ssigma_oo,no_bias,no_sigma,HmiddleDO,HmiddleSO,risk_av,DoverConf,SoverConf,real_OK_NO_RT,real_OK_DO_RT,real_OK_SO_RT,real_NOK_NO_RT,real_DO_RT,real_SO_RT
0.85,0.69,0.36,0.68,1,3051,0.31999999999999995,3051_1,3051,1,70.4920814479638,73.93939393939395,67.5,1.051958066096568,0.9534673971138987,1.1511390967397117,1.048673280776794,0.9391368252271961,0.9798291911633326,1.051958066096568,1.0270020488152423,0.9719011669339352,898.0800000000017,23.75,33.75,0.1799408793478031,,0.3395600173261509,-0.07068731399972461,0.05513234993620808,0.1840651386807945,-0.03557203627364875,0.09214023607015165,0.10086845637081575,-0.012617114059855314,0.17790601476347784,-0.007777482031758265,0.02828409989825145,-0.03447312491430154,0.4819053102449668,0.6834230081358967,941.792500000025,843.4200000000419,879.9649999999674,944.7425000000076,856.2900000000518,1033.8150000000023
0.88,,0.76,0.85,2,3051,0.15000000000000002,3051_2,3051,2,83.05555555555556,81.1590982546865,82.5,1.0225719490908824,1.2296748032803866,1.043611254805851,0.9677695058608596,1.015792331641841,0.8302300250298439,1.2590135174676373,1.1443994255001646,1.0245897688797034,778.0674999994517,16.25,25.0,0.026354504007932707,,0.06767545109335994,-0.009678380570656689,0.05273445827665284,0.07948478875644363,-0.04461639875011243,0.04465589106865796,0.11048839376091371,0.016960956400929126,0.07699768166125344,0.021528038852998074,1.9746159272762687e-05,0.018964573008690592,-0.08429182727564599,0.20513737676216104,752.9900000008638,790.354999999181,645.9749999994528,979.5975000015605,956.7700000006879,811.9999999980791
0.54,0.42,0.59,0.36,3,3051,0.64,3051_3,3051,3,66.66666666666667,84.6590909090909,67.5,1.2463030926281915,0.8796160515361502,0.9143172690143508,1.124255962137039,1.1808408775482568,0.9119694016493354,1.4477815932395497,1.4096097293471967,1.026214791825859,952.9925000024377,77.5,52.5,0.12409548258368779,,0.2788959217549661,-0.13755478625545764,0.19355550657226467,0.08707477701708372,-0.09964895739764516,0.19330389550464178,0.18941934256409468,0.03817699099576933,0.1748809584630066,0.028000360158403514,0.046827469053498307,-0.17992424242424235,-0.1431367988865103,0.3113025467270387,1071.4074999996228,1125.3324999997858,869.1000000035274,1379.7249999988708,838.2674999957089,871.3374999933876
0.77,,0.83,0.78,4,3051,0.21999999999999997,3051_4,3051,4,71.45833333333333,85.83333333333333,71.25,1.0160111286815214,1.169801156510196,1.1900878293505384,1.0060280399289079,0.877884458011076,0.9879711963502071,1.064665048270068,0.9640226937834825,1.108235366319923,733.2400000013877,18.75,26.25,0.10855719190532111,,0.20791711987279105,-0.035462734911347576,0.046677105855451366,0.14857165522562354,-0.036282832114509285,0.045580695660895815,0.11763397690106026,-0.004401277540518528,0.13548830615312288,0.005607185472051895,0.004648931773193265,-0.14375,0.4510363829764899,0.6710311634180557,737.6599999988684,643.6999999932596,724.4200000131968,780.654999995022,857.7450000011594,872.6199999946402
0.72,0.78,0.78,0.72,5,3051,0.28,3051_5,3051,5,80.03472222222223,78.7987012987013,73.75,1.0158782431251208,2.3397485568164837,1.135071610294031,0.988092931954186,0.9266333475385031,0.9515000064561594,1.1247142691108316,1.0011429235590437,1.0431340642875686,774.3300000001946,12.5,38.75,0.0812616452835421,,0.16452192780118116,-0.06497540567069908,0.0013209653534008714,0.09820137435455975,-0.053048583076865864,0.15409838153408145,0.17850512082560768,0.006017512756265337,0.12182172658100385,-0.031827220158649104,0.0505248992286078,0.012360209235209254,0.42053606265228227,0.22733863840287583,765.1100000002771,717.5199999996694,736.774999999383,870.9000000008091,1811.737500000163,878.9199999991979
0.75,,0.76,0.74,6,3051,0.26,3051_6,3051,6,77.44152046783626,76.6826923076923,76.25,0.9817724281945361,1.4173065749570848,1.3562444057059855,0.9424867699918811,0.9188533471527875,1.0176033667807494,1.0748260862729158,0.9596740000918297,1.178287087199235,636.8100000008781,5.0,26.25,0.03220815984581912,,0.072549555984588,-0.04070732049684556,0.004219542130935257,0.11546032133767815,-0.026397198878041473,0.08531863537851275,0.12901268945900532,0.01008046784885705,0.07569830681057184,-0.018243889182955154,0.02946071825023564,0.007588281601439491,0.1782411728874307,0.12998962172271386,600.1849999993574,585.1350000011735,648.0200000005425,684.4600000003993,902.5549999996656,863.6699999988194
0.8,0.72,0.77,0.7,7,3051,0.30000000000000004,3051_7,3051,7,73.10855263157895,80.14537545787546,65.0,0.9616594010074319,1.1120499518485034,1.1769852857418732,0.9350991823093903,0.9269878744599055,0.9404215809105799,1.0577179957167129,0.9714654544588878,1.0669717899089421,724.297499999011,13.75,40.0,0.16428177202389893,,0.3214051567816762,-0.05548005608774837,0.009469993427743215,0.13651921305097045,-0.06771965977192114,0.08179849969910792,0.09292841807263305,0.0004257729825449542,0.17634555892134124,-0.023005031330002576,0.007039419963593391,-0.07036822826296514,0.6698967935142216,0.6225854186498708,677.2899999978108,671.4150000007066,681.1449999986507,766.1025000015799,805.4549999978916,852.4874999984604
0.73,,0.88,0.8,8,3051,0.19999999999999996,3051_8,3051,8,81.25,76.18371212121212,73.75,0.9809928831865503,1.2958348112846116,1.0574439823975375,0.9778193701249538,0.9252620695343793,0.9643706180260105,1.0472366663351698,0.8536297291389024,1.0172750805643564,662.5149999999849,16.25,45.0,0.0521500779283536,,0.11726769602491958,-0.01208843481352987,0.059415402536462936,0.12289052277468095,-0.09745741620386052,0.10291304934683201,0.10786806229133053,0.016110690701897024,0.10449781058977972,0.023663483861466533,0.0027278165714857486,0.05066287878787876,0.1865504753817191,0.07855706218270272,647.819999998319,612.9999999975553,638.9100000014878,693.8099999970292,858.5099999982049,700.5724999980886
0.84,0.71,0.79,0.87,9,3051,0.13,3051_9,3051,9,67.81045751633988,79.92521367521367,73.75,0.9709210951370959,1.3280849690160932,1.2455918763184353,0.9673831138707407,0.9300836054489301,0.9515770210698834,1.0159388567704961,0.9981197747127016,0.9936811511483407,696.7249999870546,11.25,27.5,0.08731692457178261,,0.1972543254046289,-0.011864373902995615,0.018323886165200025,0.17659031302102196,-0.04056402492662176,0.09099938123250051,0.16062244325919514,0.02792702478357141,0.14380211695905512,0.003229756131102205,0.025217678152939373,-0.12114756158873789,0.7052245952902996,0.4998274307999218,673.9999999990687,648.0124999943655,662.987499992596,707.8299999702722,925.310000020545,867.8350000118371
0.95,,1.0,1.0,10,3051,0.0,3051_10,3051,10,67.26436188510492,80.23643023643024,75.0,0.9729235458469313,1.1756472128321227,1.2070573064220225,0.937566675133321,0.9513217795663572,0.9835876594829307,1.1699888630542687,0.9424669310875444,0.9138469353861287,639.7625000001826,8.75,37.5,0.02745591416350261,,0.08936294250418811,-0.014059388144860003,0.037029220454180035,0.1640044053359296,-0.02260381267349265,0.12912014230887586,0.12095035287083182,0.03743929333446367,0.10115934298007749,0.011484916154660015,0.053258164817691606,-0.1297206835132532,0.036067961971067854,0.08171264367010732,599.8200000001525,608.6199999999953,629.2625000001281,748.5149999999703,752.1349999997256,772.2300000000396
