perf,type,difficulty,sessionID_x,userID
45.0,NO,2,6,992
60.0,NO,3,6,992
100.0,DO,1,6,992
73.33333333333333,DO,2,6,992
50.0,DO,3,6,992
0.0,SO,1,6,992
,SO,2,6,992
100.0,SO,3,6,992
85.0,NO,1,7,992
40.0,NO,2,7,992
55.0,NO,3,7,992
78.57142857142857,DO,1,7,992
43.75,DO,2,7,992
25.0,DO,3,7,992
69.23076923076923,SO,1,7,992
68.75,SO,2,7,992
30.0,SO,3,7,992
100.0,NO,1,8,992
50.0,NO,2,8,992
65.0,NO,3,8,992
88.88888888888889,DO,1,8,992
44.44444444444444,DO,2,8,992
36.36363636363637,DO,3,8,992
94.44444444444444,SO,1,8,992
37.5,SO,2,8,992
44.44444444444444,SO,3,8,992
80.0,NO,1,9,992
55.0,NO,2,9,992
50.0,NO,3,9,992
82.3529411764706,DO,1,9,992
53.333333333333336,DO,2,9,992
42.857142857142854,DO,3,9,992
100.0,SO,1,9,992
50.0,SO,2,9,992
58.333333333333336,SO,3,9,992
80.0,NO,1,10,992
50.0,NO,2,10,992
40.0,NO,3,10,992
93.75,DO,1,10,992
66.66666666666667,DO,2,10,992
50.0,DO,3,10,992
75.0,SO,1,10,992
60.0,SO,2,10,992
25.0,SO,3,10,992
100.0,NO,1,11,992
65.0,NO,2,11,992
35.0,NO,3,11,992
85.0,DO,1,11,992
66.66666666666667,DO,2,11,992
50.0,DO,3,11,992
92.85714285714286,SO,1,11,992
84.61538461538461,SO,2,11,992
63.63636363636363,SO,3,11,992
65.0,NO,1,12,992
65.0,NO,2,12,992
40.0,NO,3,12,992
100.0,DO,1,12,992
38.46153846153846,DO,2,12,992
30.0,DO,3,12,992
81.25,SO,1,12,992
42.857142857142854,SO,2,12,992
46.15384615384615,SO,3,12,992
90.0,NO,1,13,992
65.0,NO,2,13,992
65.0,NO,3,13,992
70.58823529411765,DO,1,13,992
37.5,DO,2,13,992
64.28571428571429,DO,3,13,992
88.88888888888889,SO,1,13,992
63.63636363636363,SO,2,13,992
86.66666666666667,SO,3,13,992
100.0,NO,1,14,992
100.0,NO,2,14,992
50.0,NO,3,14,992
89.47368421052632,DO,1,14,992
82.3529411764706,DO,2,14,992
40.0,DO,3,14,992
100.0,SO,1,14,992
80.0,SO,2,14,992
66.66666666666667,SO,3,14,992
85.0,NO,1,15,992
60.0,NO,2,15,992
50.0,NO,3,15,992
66.66666666666667,DO,1,15,992
81.81818181818181,DO,2,15,992
62.5,DO,3,15,992
92.85714285714286,SO,1,15,992
69.23076923076923,SO,2,15,992
50.0,SO,3,15,992
70.0,NO,1,16,992
50.0,NO,2,16,992
65.0,NO,3,16,992
94.11764705882354,DO,1,16,992
50.0,DO,2,16,992
44.44444444444444,DO,3,16,992
78.57142857142857,SO,1,16,992
62.5,SO,2,16,992
83.33333333333333,SO,3,16,992
95.0,NO,1,17,992
60.0,NO,2,17,992
50.0,NO,3,17,992
90.0,DO,1,17,992
73.33333333333333,DO,2,17,992
46.666666666666664,DO,3,17,992
85.71428571428571,SO,1,17,992
90.0,SO,2,17,992
40.0,SO,3,17,992
90.0,NO,1,18,992
75.0,NO,2,18,992
50.0,NO,3,18,992
100.0,DO,1,18,992
85.71428571428571,DO,2,18,992
62.5,DO,3,18,992
100.0,SO,1,18,992
100.0,SO,2,18,992
50.0,SO,3,18,992
80.0,NO,1,19,992
55.0,NO,2,19,992
70.0,NO,3,19,992
100.0,DO,1,19,992
50.0,DO,2,19,992
62.5,DO,3,19,992
100.0,SO,1,19,992
31.25,SO,2,19,992
58.333333333333336,SO,3,19,992
100.0,NO,1,20,992
95.0,NO,2,20,992
50.0,NO,3,20,992
100.0,DO,1,20,992
92.3076923076923,DO,2,20,992
60.0,DO,3,20,992
94.11764705882354,SO,1,20,992
100.0,SO,2,20,992
75.0,SO,3,20,992
70.0,NO,1,1,993
40.0,NO,2,1,993
45.0,NO,3,1,993
78.57142857142857,DO,1,1,993
38.46153846153846,DO,2,1,993
50.0,DO,3,1,993
91.66666666666667,SO,1,1,993
12.5,SO,2,1,993
