mood,sleep,food,stress,sessionID_x,userID,real_stress,user_sessionID,participantID,sessionID_y,Dsubj_perf_oo,Ssubj_perf_oo,subj_perf_no,subj_RT_no,Dsubj_RT_oo,Ssubj_RT_oo,OKubj_RT_no,OKDsubj_RT_oo,OKSsubj_RT_oo,NOKubj_RT_no,NOKDsubj_RT_oo,NOKSsubj_RT_oo,medianRT,Dsubj_optout_oo,Ssubj_optout_oo,HRopt_,SO_HRopt,SO_HRopt_,DHL_oo,DHR_oo,Dsigma_oo,SHL_oo,SHR_oo,Ssigma_oo,no_bias,no_sigma,HmiddleDO,HmiddleSO,risk_av,DoverConf,SoverConf,userID_y,real_OK_NO_RT,real_OK_DO_RT,real_OK_SO_RT,real_NOK_NO_RT,real_DO_RT,real_SO_RT
0.52,0.33,0.51,0.63,1,991,0.37,991_1,991,1,75.23809523809524,62.6984126984127,71.66666666666667,1.0809569666688443,1.0906119305791528,0.9677140657551843,1.026760950965168,0.9474466212718747,0.8654083205208039,1.2930717589104748,0.9682808715338896,0.908964340968321,908.5999999660999,65.0,55.0,0.2122420380123261,,0.35386470367640754,-0.8572738218239233,0.6445569527357018,0.8529199677355666,-0.4173617615200313,0.4949283549375568,0.5390277138846062,-0.06378341350675609,0.2239752073810856,-0.10635843454411076,0.038783296708762766,0.12539682539682537,-0.559278613362815,-0.12627052087843446,,932.9150000121443,860.8500000555068,786.3099999958649,1174.885000102222,990.9300000872464,879.2650001123548
0.36,,0.44,0.25,2,991,0.75,991_2,991,2,92.5,97.91666666666667,75.0,1.0780853593099888,1.0499630215761524,0.9841757240138915,0.9708447623581566,0.9841320363632227,0.9602661199336384,1.4214200344886863,1.2772821314358118,1.1255925132172777,801.1425000149757,45.0,48.333333333333336,0.3156122125425034,,0.49599365718410426,-0.20224468457281478,0.3117505154097483,0.22922169887082847,-0.36176229914676794,0.4334483509808432,0.5019684262838591,-0.12652396856510506,0.2951550881525842,0.05475291541846676,0.03584302591703764,-0.05416666666666672,0.10236396804283458,0.1101034514081429,,777.7850000420585,788.4299999568611,769.3100000033155,1138.7600000016391,841.1700000287966,788.4649999905378
0.59,0.44,0.72,0.59,3,991,0.41000000000000003,991_3,991,3,72.22222222222221,100.0,75.0,1.162992140571201,1.050305301677366,0.930604861651671,1.132406418696391,0.9049860777435208,0.9603663619553399,1.2727710517845479,1.0343456546642213,,809.8549998831004,51.666666666666664,73.33333333333333,0.11472863255485112,,0.2282340592552894,-0.2870727908038031,0.6377832544469888,0.550761787008416,-0.6368291227179224,0.6488708443666356,0.5475957461833512,0.004255567063549458,0.18371435210047324,0.17535523182159285,0.0060208608243566,-0.27777777777777785,-0.6024350355311379,-0.4759769481661167,,917.0850000809878,732.9074998851866,777.7574999490753,1030.7599999941885,850.5949999671429,753.6550001241267
0.75,,0.74,0.73,4,991,0.27,991_4,991,4,50.0,54.74747474747475,51.666666666666664,1.16770198558398,0.9605889669022862,0.9879338578336443,1.178970719030395,0.9262938204541249,0.9521128054348718,1.1564332521375649,1.0397490292914584,0.9680478576340883,761.8425000691786,70.0,68.33333333333333,0.9524235666273149,,1.7559683849896337,-0.6129117487745807,0.9475777866987899,0.7399902237024654,-0.6589998301166036,0.4628711070907993,0.5092586550014293,-0.11009258872013011,0.5079524301983855,0.16733301896210462,-0.09806436151290213,-0.047474747474747475,0.0993720468457861,0.5157887387223818,,898.1900000944734,705.6899999734014,725.3600000403821,881.0199999716133,731.8175000837073,752.6500001549721
0.61,0.71,0.63,0.7,5,991,0.30000000000000004,991_5,991,5,70.47619047619048,40.74074074074074,63.333333333333336,1.1415253776379846,0.9569998855675623,0.9914535052659559,1.1260442540732558,0.8937973260198705,0.9526093572573948,1.2695994993861794,0.949292403151244,0.9323557890208652,831.3350001117215,56.666666666666664,65.0,0.6752810820828753,,1.2867032930685007,-0.3088849724338349,0.5342730616355662,0.5238576598665463,-0.575714609427124,0.5066075892095689,0.5746733273502025,-0.034346242949266706,0.399260837595106,0.11269404460086566,-0.03455351010877755,0.2973544973544974,0.23129847211351573,0.40787609674731745,,936.1200000857934,743.0450001265854,791.9375001220033,1055.462499964051,795.5874999752268,824.2299999110401
0.82,,0.92,0.16,6,991,0.84,991_6,991,6,52.22222222222223,82.73809523809524,65.0,1.087589455594453,1.0899835692371702,0.9761480667348762,1.0650352930648994,0.9224243854492966,0.9559649976166745,1.1247845441636524,0.9264874726328044,1.0163933482876253,868.7974999775179,41.666666666666664,61.666666666666664,0.49932978271402284,,0.8535171928629286,-0.1818896880725505,0.4518529381140474,0.5216388984110238,-0.5195537322368636,0.5627432214308867,0.6276844547089169,-0.12804616450688774,0.30995573773475893,0.13498162502074845,0.02159474459701155,-0.30515873015873013,0.22354597483142355,0.22397390486923033,,925.3000000026077,801.3999999966472,830.5399999953806,977.2099999827332,946.9749999698253,848.0749999871477
0.57,0.58,0.47,0.72,7,991,0.28,991_7,991,7,74.07407407407408,72.5,55.0,1.1789752099589215,0.9144597186327617,1.0052002707029088,1.1223685794494096,0.8959544181828033,0.929615587861356,1.2975710439230643,1.2801379320511161,0.9052673209096124,809.0925000142306,50.0,51.666666666666664,0.7614902307279354,,1.3547527399259196,-0.20093652931655037,0.48042948880190656,0.5066278774924358,-0.520293727694731,0.5002624346435712,0.7031097126707384,-0.13959164074401956,0.3930622787220871,0.1397464797426781,-0.010015646525579902,0.015740740740740763,0.3817977124448851,0.45279394270863954,,908.0999998841435,724.9100001063198,752.1450000349432,1049.8549998737872,739.882499910891,813.3000000379978
0.81,,0.63,0.87,8,991,0.13,991_8,991,8,47.68518518518518,82.96296296296296,58.333333333333336,1.050354782167612,1.0005070510803293,1.051507170895479,0.9835438874835487,0.917934550348521,0.9268893798505052,1.1971199498408334,0.9450325895744544,0.9792354899024324,813.5275000240654,58.333333333333336,65.0,0.5150361695471467,,0.9903409702543734,-0.6069974411464681,0.6605625742372742,0.8806722683124302,-0.5096805847578939,0.41449257664145606,0.5168943778891624,-0.016788967356658156,0.3622395540946493,0.026782566545403008,-0.047594004058218925,-0.3527777777777778,-0.10336191333073395,0.36370446788048516,,800.139999948442,746.7649999307469,754.0499999886379,973.8900000229477,813.9400000218302,855.4299999959768
0.64,0.59,0.63,0.65,9,991,0.35,991_9,991,9,57.6923076923077,42.36874236874237,55.0,1.0300480127482485,1.0822919444942918,1.021279007826438,1.026493731713336,0.9470125367285896,0.9692117899742323,1.0719858631145542,0.9138503600903135,1.0182848759273595,749.7999999905005,30.0,45.0,0.9339982026448541,,1.7611287185197533,-0.20228251494147648,0.26645933557324614,0.5220489082588378,-0.6665241609738347,0.5934836587105767,1.0249968847438695,-0.06694307345643251,0.5156098217585271,0.03208841031588483,-0.03652025113162899,0.15323565323565333,0.5988067132890272,0.4730497987693902,,769.6650000289081,710.0700000301003,726.7150001134723,803.7750001531094,811.5024999715388,765.7550000585616
0.31,,0.61,0.26,10,991,0.74,991_10,991,10,56.25,64.88095238095238,68.33333333333333,1.0312224533870311,0.9331350757046175,1.0493479768444975,1.0313918507779478,0.9274445772401521,0.9897734151150482,0.95646800126618,0.9516056678239734,0.9830728064772948,796.942500048317,28.333333333333332,63.333333333333336,0.12005262103288032,,0.17948838329121763,-0.08192977863013856,0.3101952666956417,0.6135331776386228,-0.5762166309175517,0.5645203346648939,0.562746455355899,-0.05774796471295112,0.1056985940758166,0.11413274403275156,-0.005848148126328889,-0.0863095238095238,-0.2404500484898054,-0.5212729484523133,,821.9600000884385,739.1200000420213,788.7924999231473,762.2500001452863,743.6550001148134,836.2700000870974
