gabor_sample,NoiseLevel,Variant,Diff_Energy,Diff_EnergySign
100_1.png,100,1,542.602910454414,1
100_2.png,100,2,2488.67885738591,1
100_3.png,100,3,-5100.90152408151,-1
100_4.png,100,4,981.552618095986,1
100_5.png,100,5,1307.98381394724,1
100_6.png,100,6,-2065.94150056888,-1
100_7.png,100,7,5210.18991890724,1
100_8.png,100,8,-4856.98596979017,-1
100_9.png,100,9,-1827.83710761579,-1
100_10.png,100,10,4479.43386545788,1
099_1.png,99,1,8966.32935691555,1
099_2.png,99,2,-8358.60950915633,-1
099_3.png,99,3,8450.27162601888,1
099_4.png,99,4,-6737.11628798071,-1
099_5.png,99,5,-10401.9468028556,-1
099_6.png,99,6,-8321.37182369013,-1
099_7.png,99,7,-9742.56192063481,-1
099_8.png,99,8,6451.79419265532,1
099_9.png,99,9,-10012.0665587464,-1
099_10.png,99,10,9257.66528718399,1
098_1.png,98,1,13137.9837946527,1
098_2.png,98,2,15603.0619218183,1
098_3.png,98,3,10761.4219928521,1
098_4.png,98,4,-12973.0208617958,-1
098_5.png,98,5,-13561.4030750276,-1
098_6.png,98,6,-15218.3265265987,-1
098_7.png,98,7,14793.3888871174,1
098_8.png,98,8,12815.547642373,1
098_9.png,98,9,-13441.8376427131,-1
098_10.png,98,10,-11668.8351205324,-1
097_1.png,97,1,16297.8567201896,1
097_2.png,97,2,-20502.8142522663,-1
097_3.png,97,3,20065.750081316,1
097_4.png,97,4,-18321.1001857211,-1
097_5.png,97,5,-20472.3499860144,-1
097_6.png,97,6,-17981.6093379643,-1
097_7.png,97,7,-21050.0341846265,-1
097_8.png,97,8,18292.7108416676,1
097_9.png,97,9,-17791.6136207393,-1
097_10.png,97,10,-19355.7743119141,-1
096_1.png,96,1,26303.3347448664,1
096_2.png,96,2,-23655.6617080965,-1
096_3.png,96,3,-24361.9077749931,-1
096_4.png,96,4,-21744.0614100683,-1
096_5.png,96,5,-24914.4804075055,-1
096_6.png,96,6,-25033.671050142,-1
096_7.png,96,7,-24961.0623797899,-1
096_8.png,96,8,25320.8491088032,1
096_9.png,96,9,-20389.8995619757,-1
096_10.png,96,10,-26315.9490807973,-1
095_1.png,95,1,-26893.9681513675,-1
095_2.png,95,2,-27408.6121809197,-1
095_3.png,95,3,27729.7288696969,1
095_4.png,95,4,28002.3646997907,1
095_5.png,95,5,27827.3697687768,1
095_6.png,95,6,-30362.5784876125,-1
095_7.png,95,7,-29919.0598936156,-1
095_8.png,95,8,-30419.2229116662,-1
095_9.png,95,9,-32267.8953759687,-1
095_10.png,95,10,27572.4798179456,1
094_1.png,94,1,36374.8477726367,1
094_2.png,94,2,33936.9767488209,1
094_3.png,94,3,36043.2366113216,1
094_4.png,94,4,-32606.7772289194,-1
094_5.png,94,5,-35969.4935624548,-1
094_6.png,94,6,33451.0435274185,1
094_7.png,94,7,-36283.1986158965,-1
094_8.png,94,8,34938.535842551,1
094_9.png,94,9,-36335.1200912248,-1
094_10.png,94,10,30687.8687482628,1
093_1.png,93,1,39549.1424891482,1
093_2.png,93,2,37580.2278904404,1
093_3.png,93,3,37810.9405200351,1
093_4.png,93,4,41776.3362123565,1
093_5.png,93,5,41474.3589904837,1
093_6.png,93,6,-43110.7959428392,-1
093_7.png,93,7,-36693.4156374898,-1
093_8.png,93,8,-41607.0597358942,-1
093_9.png,93,9,-37995.5008968156,-1
093_10.png,93,10,-40816.7451004362,-1
092_1.png,92,1,47861.7880528936,1
092_2.png,92,2,43004.7229431151,1
092_3.png,92,3,-47794.7038744676,-1
092_4.png,92,4,-45145.7252631405,-1
092_5.png,92,5,-44448.3874592768,-1
092_6.png,92,6,-43485.0410366809,-1
092_7.png,92,7,-50164.318797765,-1
092_8.png,92,8,-45155.2894501342,-1
092_9.png,92,9,-47766.3336790838,-1
092_10.png,92,10,-43836.0488732059,-1
091_1.png,91,1,50168.416096737,1
091_2.png,91,2,52823.2333110921,1
091_3.png,91,3,49567.407754572,1
091_4.png,91,4,50339.937641256,1
091_5.png,91,5,-50875.3698607241,-1
091_6.png,91,6,-53419.1122147648,-1
091_7.png,91,7,-53479.3731455683,-1
091_8.png,91,8,-52627.105723374,-1
091_9.png,91,9,-48274.7342608353,-1
091_10.png,91,10,-51783.9255126755,-1
090_1.png,90,1,56139.3711230501,1
090_2.png,90,2,56715.5664384949,1
090_3.png,90,3,56280.4363191744,1
090_4.png,90,4,57660.0119468429,1
090_5.png,90,5,-57685.7277146717,-1
090_6.png,90,6,55664.7785347361,1
090_7.png,90,7,-56163.8988084608,-1
090_8.png,90,8,-55308.4811875525,-1
090_9.png,90,9,-58539.1399105305,-1
090_10.png,90,10,57330.9124862331,1
089_1.png,89,1,62410.3412190367,1
089_2.png,89,2,60889.9313157329,1
089_3.png,89,3,63107.7157703476,1
089_4.png,89,4,59474.1874573711,1
089_5.png,89,5,62981.3999901338,1
089_6.png,89,6,60256.3976311369,1
089_7.png,89,7,-63170.6411871763,-1
089_8.png,89,8,-61242.176878621,-1
089_9.png,89,9,-59235.1679436964,-1
089_10.png,89,10,61693.3900286662,1
088_1.png,88,1,68744.8725584586,1
088_2.png,88,2,65695.9427764458,1
088_3.png,88,3,-69667.9102563472,-1
088_4.png,88,4,64160.3594637794,1
088_5.png,88,5,66784.7842213864,1
088_6.png,88,6,-68634.0240930469,-1
088_7.png,88,7,-67035.0980608362,-1
088_8.png,88,8,-62423.4218385605,-1
088_9.png,88,9,-67369.8463193528,-1
088_10.png,88,10,-66830.7666747712,-1
087_1.png,87,1,70468.4115436499,1
087_2.png,87,2,70668.8443048789,1
087_3.png,87,3,69674.8264646384,1
087_4.png,87,4,-70372.8193763484,-1
087_5.png,87,5,-70930.0991312501,-1
087_6.png,87,6,-71838.6592831901,-1
087_7.png,87,7,-74232.74064273,-1
087_8.png,87,8,73266.9492056654,1
