mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.64,0.53,0.63,0.55,5,1007,0.44999999999999996,1007_5
0.59,0.59,0.73,0.64,5,1008,0.36,1008_5
0.5,0.39,0.24,0.46,5,1009,0.54,1009_5
1.0,1.0,1.0,1.0,5,1010,0.0,1010_5
0.69,0.94,0.64,0.69,5,1011,0.31000000000000005,1011_5
0.52,0.48,0.6,0.63,5,1012,0.37,1012_5
0.58,0.42,0.47,0.58,5,1013,0.42000000000000004,1013_5
1.0,0.74,1.0,0.78,5,1014,0.21999999999999997,1014_5
0.82,,0.92,0.16,6,991,0.84,991_6
0.88,,1.0,0.99,6,992,0.010000000000000009,992_6
0.36,,0.85,0.64,6,993,0.36,993_6
1.0,,0.76,0.57,6,994,0.43000000000000005,994_6
0.54,,0.55,0.58,6,995,0.42000000000000004,995_6
0.86,,0.92,0.86,6,996,0.14,996_6
0.0,,0.32,0.0,6,997,1.0,997_6
0.72,,0.83,0.25,6,998,0.75,998_6
0.55,,0.56,0.61,6,999,0.39,999_6
0.6,,0.76,0.37,6,1000,0.63,1000_6
0.75,,0.87,0.68,6,1001,0.31999999999999995,1001_6
0.4,,0.61,0.52,6,1002,0.48,1002_6
0.62,,0.67,0.46,6,1003,0.54,1003_6
0.85,,0.8,0.82,6,1005,0.18000000000000005,1005_6
1.0,,1.0,1.0,6,1006,0.0,1006_6
0.58,,0.7,0.63,6,1007,0.37,1007_6
0.63,,0.44,0.56,6,1008,0.43999999999999995,1008_6
0.75,,0.5,0.5,6,1009,0.5,1009_6
0.71,,0.72,0.72,6,1010,0.28,1010_6
0.4,,0.58,0.32,6,1011,0.6799999999999999,1011_6
0.65,,0.67,0.69,6,1012,0.31000000000000005,1012_6
0.58,,0.55,0.56,6,1013,0.43999999999999995,1013_6
1.0,,1.0,0.78,6,1014,0.21999999999999997,1014_6
0.57,0.58,0.47,0.72,7,991,0.28,991_7
0.7,0.74,0.4,0.4,7,992,0.6,992_7
0.62,0.64,0.71,0.54,7,993,0.45999999999999996,993_7
1.0,0.62,0.72,0.63,7,994,0.37,994_7
0.61,0.75,0.54,0.66,7,995,0.33999999999999997,995_7
0.74,0.66,0.7,0.99,7,996,0.010000000000000009,996_7
0.25,0.63,0.34,0.0,7,997,1.0,997_7
0.73,0.58,0.86,0.64,7,998,0.36,998_7
0.44,0.44,0.79,0.41,7,999,0.5900000000000001,999_7
0.37,0.1,0.59,0.4,7,1000,0.6,1000_7
0.73,0.65,0.76,0.34,7,1001,0.6599999999999999,1001_7
0.6,0.58,0.7,0.51,7,1002,0.49,1002_7
0.68,0.68,0.42,0.57,7,1003,0.43000000000000005,1003_7
0.77,1.0,0.91,1.0,7,1005,0.0,1005_7
0.47,0.8,1.0,0.51,7,1006,0.49,1006_7
0.62,0.62,0.62,0.57,7,1007,0.43000000000000005,1007_7
0.66,0.67,0.86,0.55,7,1008,0.44999999999999996,1008_7
1.0,0.48,1.0,1.0,7,1009,0.0,1009_7
1.0,1.0,1.0,1.0,7,1010,0.0,1010_7
0.86,0.86,0.6,0.85,7,1011,0.15000000000000002,1011_7
0.55,0.51,0.65,0.63,7,1012,0.37,1012_7
