,,intercept,1|subj,slope,slope|subj,dwaic,d_loo,r2,r2_std,control_r2,control_r2_std,R2Model-r2control
Dsubj_optout_oo,mood,26.5229375285057,0.00296425951787,-2.17184711250864,-0.002585434426942,-1.34671389651749,-1.41589278232027,0.769268773481404,0.009094624822839,0.769647096574609,0.008161637579669,-0.000378323093205
,real_stress,23.9755860082204,-0.105270156191785,2.97088374816259,-0.036636204121092,0.601139943921226,0.386171317737535,0.771576240317281,0.009316340413647,0.769624593857766,0.009007612052263,0.001951646459515
,food,23.9106529147827,0.032881519810741,1.62410488197283,0.179134202677112,-1.53626642906988,-1.55072308014132,0.768714128154275,0.008500534071099,0.76999464016049,0.008346291807508,-0.001280512006215
,sleep,28.0140030298028,-0.220314340499389,-4.20631579188731,-0.05454590713187,-0.279706094756534,-0.373649268111649,0.744127261306269,0.010371471439481,0.741826815450007,0.009214184199339,0.002300445856262
OKubj_RT_no,mood,0.981010249458087,-0.000273895953777,0.012808698110964,0.000122964389864,1.05563557770699,1.13432377321556,0.115276938507447,0.004841415176768,0.101817283384708,0.004203393168779,0.013459655122739
,real_stress,0.992460811050735,-4.23191573463417E-05,-0.007709262508999,0.000100795555697,-0.890874220182809,-0.913993550597524,0.105531283378102,0.004276613280963,0.097725303981297,0.00427772889283,0.007805979396805
,food,0.978892769234073,0.000103987616149,0.015414893170572,-0.000314010074054,0.200090261431228,0.227638562021866,0.108966423417804,0.004792578377295,0.099688065341124,0.004235867927355,0.00927835807668
,sleep,0.982713879490229,7.7958479044995E-05,0.008656335200767,4.03249478189869E-05,-0.545865063516999,-0.6294535735002,0.078746463035475,0.003714991035869,0.071225373349558,0.003171360234474,0.007521089685917
